name_model;seed;1;100;200;300;400;500;600;700;800;900;1000;sum_rewards;mean_rewards
pid;0;-0.6958145510504269;-0.29458272218547765;-0.037961840924490974;-0.027550668358294374;-0.024450857502266304;-0.00672630368878685;-0.029992855185704312;-0.03044692792221122;-0.032599905819318827;-0.03261035609464618;-0.024304426838030354;-83.94763035788044;-0.08394763035788044
pid;1;-0.4205149043726533;-0.03780886994458163;-0.018251744710994305;-0.01606197899281112;-0.010439228675260304;-0.011487310655090345;-0.009152788207381562;-0.0035864761318333527;-0.011671950273011933;-0.009944754266544757;-0.016982139256679046;-34.295929612809765;-0.034295929612809764
pid;2;-0.4132909989557089;-0.03644740290578731;-0.031186522948756054;-0.017052142863713617;-0.013217460417714684;-0.010762730513056226;-0.01553358871792275;-0.023575644705916683;-0.022958494017890095;-0.023763799008632416;-0.02589478865908961;-37.96147566351727;-0.03796147566351727
pid;3;-0.47085776298465143;-0.034503590846142795;-0.029787857075459216;-0.014474178114421633;-0.009592696731130368;-0.01711099352483996;-0.021312049744843336;-0.01962411633141287;-0.014023882546880053;-0.02374105601874756;-0.01242980059334422;-45.366309961762624;-0.04536630996176262
pid;4;-0.39602182165088046;-0.05092863724482285;-0.009418795904042071;-0.00798333501584579;-0.019135383765545747;-0.0089515300184817;-0.019671902231165047;-0.011238994558590554;-0.01201405443979602;-0.006411755633051763;-0.015268462248928171;-39.52288689243922;-0.03952288689243922
pid;5;-0.5030319241108872;-0.10946158037438994;-0.02531535930205855;-0.02261135568155045;-0.0263373927067344;-0.018632123165640904;-0.019341922454602655;-0.0229118843602002;-0.013514133974945474;-0.02439093991064467;-0.013310796260341715;-48.508850887546;-0.048508850887545994
pid;6;-0.45910947501271293;-0.13608250427288188;-0.01614967472689638;-0.0346670696011711;-0.012042189839465752;-0.011877787811597562;-0.01604421143006644;-0.02239695686932157;-0.037731688101891224;-0.0356675336845807;-0.038756546801268485;-55.92596323777309;-0.05592596323777309
pid;7;-0.4981727662853006;-0.14517949868586516;-0.023110656997991495;-0.0180422410471253;-0.020111240549053222;-0.014858984351035148;-0.025309065840712498;-0.02109478139741252;-0.016286480881995503;-0.021906251153366797;-0.011895634058419986;-54.05826412171535;-0.05405826412171535
pid;8;-0.3253135024977403;-0.04854669868921527;-0.01903480131951445;-0.0024848654448529697;-0.01718241375041385;-0.021215689125106997;-0.011251708432528436;-0.023040718991525017;-0.017539821473390095;-0.010533445219279052;-0.012238808709074017;-31.372194633884387;-0.03137219463388439
pid;9;-0.23580818460546196;-0.040207553754822656;-0.008835421930628806;-0.01080328642336566;-0.009647958021780355;-0.003714326604294916;-0.012295032648379901;-0.006204483329564663;-0.011298721594321593;-0.01950493491643605;-0.010678681115788385;-22.051915615456878;-0.022051915615456878
pid;10;-0.5319899585091131;-0.13413682614675654;-0.03068329185696007;-0.011967019783829821;-0.011505563374139027;-0.010810647509530171;-0.02462662264742386;-0.014304710567419896;-0.019571555273615742;-0.02015081112549941;-0.013940142711037868;-50.697991370951414;-0.05069799137095141
pid;11;-0.38054254986520636;-0.051858576130912784;-0.019893462877294432;-0.014165300572817424;-0.007778720770999912;-0.014329882245690246;-0.007602068213871307;-0.014681879133256831;-0.012534920212959221;-0.003915152871621515;-0.009846210339567925;-41.28324332756474;-0.04128324332756474
pid;12;-0.12491582199765867;-0.013481879932184816;-0.005706040528843302;-0.012500882764448358;-0.0033226415567856756;-0.007797985571089705;-0.010433428785202368;-0.008533338651679257;-0.007904532958882805;-0.004076119948946024;-0.010660463201251118;-12.47973419504276;-0.012479734195042759
pid;13;-0.29044374946045165;-0.048097828404925304;-0.008469191740546618;-0.021016347776918215;-0.0026232335619277274;-0.021328532365036963;-0.010887632820396991;-0.02340222256312992;-0.004027371374970665;-0.024690746079726354;-0.01573427681441721;-33.27530245011567;-0.03327530245011567
pid;14;-0.597407571842622;-0.08864180953446399;-0.033441364069772946;-0.015275985452143424;-0.01681136120113802;-0.014167686417794706;-0.011036528848045356;-0.017540689859655855;-0.01607582272854085;-0.01521322460029348;-0.0170816549243557;-55.99561977327743;-0.05599561977327743
pid;15;-0.7228548830855637;-0.24805683935406952;-0.04028390461728662;-0.035680942415218596;-0.01981131914942458;-0.03424345762678848;-0.029799815607434624;-0.03587753349435148;-0.009896861281334848;-0.028941434233400693;-0.011529329544301102;-80.08227556211402;-0.08008227556211402
pid;16;-0.6355456884816649;-0.16365719859736527;-0.02246388177880379;-0.01338810020903132;-0.02041109758685812;-0.016288413477306956;-0.014998695923468326;-0.01474974697735952;-0.020995292191602986;-0.008044786294254475;-0.021810353051733577;-64.71432155294366;-0.06471432155294365
pid;17;-0.5192675764115963;-0.11311843786289076;-0.02431386657029486;-0.020433415616298772;-0.019417161310756208;-0.008178684196448379;-0.014572115315721303;-0.014031957299951743;-0.012692276503835082;-0.012137588101868813;-0.0037117997504727282;-46.96610684615367;-0.04696610684615367
pid;18;-0.48279033401945326;-0.07598990555421849;-0.013305064228928095;-0.018828205142824385;-0.013665227620597832;-0.014117531806928443;-0.02542687120068681;-0.008469644424558609;-0.018143839249109357;-0.009002054657784087;-0.007724109550378178;-43.26733869164749;-0.04326733869164749
pid;19;-0.4303058360523877;-0.011473201817837085;-0.026159889877276306;-0.015706332843030246;-0.028179136810055794;-0.02452363915486495;-0.025658481873930442;-0.011236260913940442;-0.025330678910569646;-0.01841368209933875;-0.008986543604121095;-35.14995117315597;-0.03514995117315597
